id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
6242467,apple,iphone se 2022,429.0,128 GB,4.7,12.0,5G,(product)red,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-128-gb-4-7-12-mp-product-red--p0006242467
5865115,emporia,joy- lte,89.9,0.128 GB,2.8,2.0,,black,3.0,4.5,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/emporia-joy-lte-0-128-gb-2-8-2-mp-schwarz--p0005865115
13899676,apple,iphone 15 plus,949.0,256 GB,6.7,48.0,5G,black,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-schwarz-6-7-48-mp-5g--p0013899676
6242466,apple,iphone se 2022,429.0,128 GB,4.7,12.0,5G,polar star,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-128-gb-4-7-12-mp-polarstern--p0006242466
14103193,samsung,galaxy a55 5g,429.95,128 GB,6.6,50.0,5G,awesome lilac,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-a55-5g-128-gb-awesome-lilac-6-6-50-mp-5g--p0014103193
13899679,apple,iphone 15 plus,949.0,256 GB,6.7,48.0,5G,blue,,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-plus-256-gb-blau-6-7-48-mp-5g--p0013899679
979863,apple,iphone 11,399.0,64 GB,6.1,12.0,,black,20.0,5.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-11-64-gb-6-1-12-mp-schwarz--p0001903282
14082839,xiaomi,redmi note 13 pro+,399.95,512 GB,6.67,200.0,5G,aurora purple,,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-pro-512-gb-aurora-purple-6-67-200-mp-5g--p0014082839
5033384,xiaomi,redmi note 11,129.95,64 GB,6.43,50.0,,graphite gray,,,,,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-11-64-gb-6-43-50-mp-graphite-gray--p1005033384
13897328,google,pixel 7a,369.0,128 GB,6.1,64.0,5G,"sea blue, blue",,,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/google-pixel-7a-128-gb-sea-blue-blau-6-1-64-mp-5g--p0013897328
13899713,apple,iphone 15 pro,1499.0,1 TB,6.1,48.0,5G,blue titanium,,4.0,7,7.0,2024-04-14,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-15-pro-1-tb-titan-blau-6-1-48-mp-5g--p0013899713
