id,brand,model,price,screen,camera,network,color,number_reviews,delivery_time,pickup_time,date,memory_GB,rating100,screen_price_ratio
13919219.0,SAMSUNG,Galaxy Z Flip 5,799.0,"6.7""",12 MP,5G,Graphite,,1.0,1.0,2024-04-11,256.0,,0.008385481852315394
14082866.0,XIAOMI,Redmi Note 13 Pro,279.95,"6.67""",200 MP,,Waldgrün,,1.0,1.0,2024-04-11,256.0,,0.023825683157706733
14070425.0,SAMSUNG,Galaxy S24,749.0,"6.2""",50 MP,5G,Onyx Black,,14.0,14.0,2024-04-11,128.0,,0.008277703604806409
1018407.0,APPLE,iPhone 13,749.0,"6.1""",12 MP,5G,Mitternacht,,1.0,1.0,2024-04-11,512.0,,0.008144192256341788
14040951.0,SAMSUNG,Galaxy S23 FE,499.0,"6.4""",50 MP,5G,Violett,,30.0,30.0,2024-04-11,128.0,,0.01282565130260521
14085217.0,ASUS,ROG Phone 8 Pro,1099.95,"6.78""",50 MP,5G,Phantom Black,,1.0,1.0,2024-04-11,512.0,,0.0061639165416609845
,XIAOMI,Redmi A2,80.45,"6.52""",8 MP,,Hellgrün,,14.0,14.0,2024-04-11,32.0,,0.0810441267868241
14070445.0,SAMSUNG,Galaxy S24 Ultra,1199.0,"6.8""",200 MP,5G,Titanium Gray,,1.0,1.0,2024-04-11,256.0,,0.00567139282735613
13959591.0,FAIRPHONE,Fairphone 5,629.95,"6.46""",50 MP,5G,Transparent,,1.0,1.0,2024-04-11,256.0,80.0,0.01025478212556552
14040957.0,SAMSUNG,Galaxy A25 5G,269.95,"6.5""",50 MP,5G,Blau,,1.0,1.0,2024-04-11,128.0,,0.02407853306167809
