id,brand,model,price,memory,screen,camera,network,color,number_reviews,rating,delivery_time,pickup_time,date,webpage
14082839,XIAOMI,Redmi Note 13 Pro+,399.95,512 GB,"6.67""",200 MP,5G,Aurora Purple,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-13-pro-512-gb-aurora-purple-6-67-200-mp-5g--p0014082839
997928,APPLE,iPhone 12,519.0,128 GB,"6.1""",12 MP,5G,Schwarz,12,4.5,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-12-5g-128-gb-6-1-12-mp-schwarz--p0002551075
14070435,SAMSUNG,Galaxy S24+,949.0,256 GB,"6.7""",50 MP,5G,Onyx Black,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-256-gb-onyx-black-6-7-50-mp-5g--p0014070435
14040953,SAMSUNG,Galaxy S23 FE,499.0,128 GB,"6.4""",50 MP,5G,Graphite,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s23-fe-128-gb-graphite-6-4-50-mp-5g--p0014040953
6242461,APPLE,iPhone SE 2022,389.0,64 GB,"4.7""",12 MP,5G,Polarstern,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-se-2022-5g-64-gb-4-7-12-mp-polarstern--p0006242461
14070442,SAMSUNG,Galaxy S24 Ultra,1299.0,512 GB,"6.8""",200 MP,5G,Titanium Gray,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/samsung-galaxy-s24-ultra-512-gb-titanium-gray-6-8-200-mp-5g--p0014070442
5033384,XIAOMI,Redmi Note 11,129.95,64 GB,"6.43""",50 MP,,Graphite Gray,,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/xiaomi-redmi-note-11-64-gb-6-43-50-mp-graphite-gray--p1005033384
1018403,APPLE,iPhone 13,649.0,256 GB,"6.1""",12 MP,5G,Rosé,,5.0,,,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-13-5g-256-gb-6-1-12-mp-ros%C3%A9--p0002866482
13897328,GOOGLE,Pixel 7a,369.0,128 GB,"6.1""",64 MP,5G,"Sea Blue, Blau",,,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/google-pixel-7a-128-gb-sea-blue-blau-6-1-64-mp-5g--p0013897328
9071627,APPLE,iPhone 14,729.0,256 GB,"6.1""",12 MP,5G,Mitternacht,,5.0,morgen geliefert,morgen abholbereit,2024-04-11,https://www.interdiscount.ch/de/smartphone--c411000/apple-iphone-14-5g-256-gb-6-1-12-mp-mitternacht--p0009071627
